PRS_NAT;libelle_prestation;libelle_prestation_en_b2
2155;FORFAIT ENVIRONNEMENT HOSPITALIER 1;SE1
2156;FORFAIT ENVIRONNEMENT HOSPITALIER 2;SE2
2157;FORFAIT ENVIRONNEMENT HOSPITALIER 3;SE3
2158;FORFAIT ENVIRONNEMENT HOSPITALIER 4;SE4
2159;FORFAIT DE SECURITE DERMATOLOGIQUE;FSD
2160;MISSION D'INTERET GENERAL SSR;MGS
2161;FORFAIT MISSION D INTERET GENERAL D AIDE A LA CONTRACTUALISATION;MGC
2162;FORFAIT HAUTE TECHNICITE;FHT
2163;SUPPLEMENT JOURNALIER DIALYSE PERITONEALE;DIP
2164;ADMINISTRATION DE PRODUITS ET PRESTATIONS EN ENVIRONNEMENT HOSPITALIER;APE
2165;FORFAIT PRESTATION INTERMEDIAIRE;FPI
2166;ADMINISTRATION DE MEDICAMENTS EN ENVIRONNEMENT HOSPITALIER;AP2
2167;FORFAIT ENVIRONNEMENT HOSPITALIER 5;SE5
2168;FORFAIT ENVIRONNEMENT HOSPITALIER 6;SE6
2170;FIR ETS PRIVES;FIP
2173;DIFFERENTIEL PSY REGLEMENTAIRE;DPC
2176;DIFFERENTIEL SSR REGLEMENTAIRE;DSC
2181;PRELEVEMENT D ORGANE 1;PO1
2182;PRELEVEMENT D ORGANE 2;PO2
2183;PRELEVEMENT D ORGANE 3;PO3
2184;COORDINATION PRELEVEMENT D ORGANES;CPO
2185;PRELEVEMENT D ORGANE 4;PO4
2186;PRELEVEMENT D'ORGANE 5;PO5
2187;PRELEVEMENT D'ORGANE 6;PO6
2188;PRELEVEMENT D'ORGANE 7;PO7
2189;PRELEVEMENT D'ORGANE 8;PO8
2190;PRELEVEMENT D'ORGANE 9;PO9
2191;PRELEVEMENT D'ORGANE;POA
2195;SUPPLEMENT ANTEPARTUM;ANT
2202;MEDICALISATION DES PERSONNES AGEES;
2204;CAMSP: CENTRE ACTION MEDICO-SOCIALE PRECOCE;
2206;VIH;VIH
2211;FRAIS DE SEJOUR;PJ
2212;MAJORATION PMSI;PMS
2213;FRAIS DE SEJOUR IME;PJE
2214;SUPPLEMENT DEROGATOIRE SG SUR PRESTATION SEJOUR NON REMBOURSABLE (CNMSS);SGJ
2215;SUPPLEMENT DEROGATOIRE SG SUR PRESTATION SEJOUR REMBOURSABLE (CNMSS);DSJ
2221;SUPPLEMENT CHAMBRE PARTICULIERE;SHO
2222;SUPPLEMENT POUR SURVEILLANCE DU MALADE;SSM
2223;FRAIS D  HOSPITALISATION DU NOUVEAU-NE DONNANT LIEU A FACTURATION EN SUPPLEMENT DE L  HOSPITALISATION DE LA MERE EN MAISON DE REPOS;HNN
2224;SUPPLEMENT POUR  CHAMBRE CHAUDE;SCH
2225;SUPPLEMENT POUR INCUBATEUR;SIN
2227;SUPPLEMENT POUR ALIMENTATION PARENTERALE;SAP
2229;FORFAIT PRISE EN CHARGE DU NOUVEAU NE;FNN
2230;PRIX DE JOURNEE REGIME LOCAL;PJL
2231;FORFAIT PHARMACEUTIQUE;PHJ
2232;FORFAIT TRANSPLANTATION D  ORGANE;FTO
2234;FORFAIT D  ENTREE;ENT
2235;FORFAIT D  ACTIVITE NON PROGRAMMEE;ANP
2236;FORFAIT CONSOMMABLE CARDIOLOGIE;FCO
2237;PART COMPLEMENTAIRE AIDE MEDICALE ETAT (REGULARISATION CMU COMPLEMENTAIRE);PJC
2238;FORFAIT D ACCUEIL ET DE TRAITEMENT DES URGENCES;ATU
2239;FORFAIT ANNUEL D URGENCE;FAU
2240;TARIF JOURNALIER COMPLEMENTAIRE;TJC
2241;FRAIS DE SALLE D  OPERATION;FSO
2242;FRAIS D  ANESTHESIE ET REANIMATION;ARE
2243;FRAIS D  ENVIRONNEMENT;FE
2245;FRAIS DE SALLE D  ACCOUCHEMENT;FST
2246;FRAIS DE SALLE D  ACCOUCHEMENT MULTIPLE;FSG
2247;FORFAIT PSYCHIATRIE  DE SECURITE - HOSPITALISATION AVEC HEBERGEMENT;FSY
2248;Forfait Innovation HIFU;I01
2249;FORFAIT ACTIVITE ISOLE;FAI
2250;FORFAIT JOURNALIER AIDE MEDICALE (REGULARISATION CMU COMPLEMENTAIRE);FJC
2251;FORFAIT JOURNALIER;FJ
2252;FORFAIT JOURNALIER DE SORTIE;FJA
2257;FJ TRANSPLANTATION ORGANES;FJO
2258;FORFAIT DE SOINS JOURNALIER;FSJ
2259;SAISIE MANUELLE DES SEJOURS POUR LEQUELS LE FJ EST SUPERIEUR AU TM;
2260;FORFAIT HOPITAL PROXIMITE COMPLEMENTAIRE;HPC
2261;FORFAIT ACCUEIL DU PATIENT N 1;FA1
2262;FORFAIT ACCUEIL DU PATIENT N 2;FA2
2263;FORFAIT IFAQ;IFQ
2264;FORFAIT IFAQ SSR;IFZ
2265;DOTATION MODULEE A L'ACTIVITE;DMA
2268;FORFAIT INNOVATION RETINA;I05
2271;FORFAIT HPT GROUPE 1;AS1
2273;FORFAIT HPT 15 %;AS3
2282;PARTICIPATION ASSURE TRANSITOIRE;PAT
2283;PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (CMU + AME);PAH
2284;PARTICIPATION ASSURE HOSPITALISATION PUBLIQUE (REGIME LOCAL);PAJ
2285;PARTICIPATION ASSURE SUR SEJOUR;PAS
2321;FORFAIT - LONG SEJOUR PERSONNES AGEES;FPA/FS
2331;RADIUMTHERAPIE ET CHIMIOTHERAPIE;SNS
2332;READAPTATION FONCTIONNELLE;RF/SNS
2333;REEDUCATION PROFESSIONNELLE;RP/FS
2334;SEANCE D  HEMODIALYSE;FSE/SNS
2335;FORFAIT DE PANSEMENT;FP
2336;FORFAIT POUR CONSULTATION EN CENTRE MEDICO-PSYCHO PEDAGOGIQUE;SNS
2337;SEANCE DE DIAGNOSTIC;SD
2338;FORFAIT PETIT MATERIEL;FFM
2339;AUTRES FORFAITS DIVERS (Y COMPRIS NUTRITION ENTERALE A DOMICILE);FS/SNS
2341;SUPPLEMENT AU FORFAIT CHIMIOTHERAPIE;SFC
2342;FORFAIT POUR GARDE DE DEBUT DE NUIT EN ETABLIS. PRIVE;RGD
2343;FORFAIT POUR GARDE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE;RGN
2344;FORFAIT DE GARDE NUIT ET FERIE EN ETABLIS. PRIVE;FPG
2345;FORFAIT POUR ASTREINTE DE DEBUT DE NUIT EN ETABLIS. PRIVE;RAN
2346;FORFAIT POUR ASTREINTE DE NUIT OU SAMEDI APRES MIDI EN ETABLIS. PRIVE;RAG
2347;FORFAIT D'ASTREINTE NUIT ET FERIE EN ETABLIS. PRIVE;FPA
2351;FORFAIT TECHNIQUE NORMAL IRMN -SCANNERS;FTN
2352;FORFAIT TECHNIQUE REDUIT IRMN -SCANNERS;FTR
2353;FORFAIT TECHNIQUE SCANNER (SPP expo amiante);FTS
2354;FORFAIT TECHNIQUE TOMOGRAPHIE;FTG
2355;FORFAIT CONCOMMABLE MEDECINE NUCLEAIRE 01;N01
2371;TARIF SOINS GIR 1 ET 2;G1
2372;TARIF SOINS GIR 3 ET 4;G2
2380;FORFAIT PSYCHIATRIE SEANCE COLL, 1 INTERVENANT 3 à 4H;PY0
2381;FORFAIT PSYCHIATRIE SEANCE IND, 1 INTERVENANT 3 à 4H;PY1
2382;FORFAIT PSYCHIATRIE SEANCE COLL, 2 INTERVENANTS 3 à 4H;PY2
2383;FORFAIT PSYCHIATRIE SEANCE IND. 2 INTERVENANTS 3 à 4H;PY3
2384;FORFAIT PSYCHIATRIE SEANCE COLL, 1 INTERVENANT 6 à 8H;PY4
2385;FORFAIT PSYCHIATRIE SEANCE IND. 1 INTERVENANT 6 à 8H;PY5
2386;FORFAIT PSYCHIATRIE SEANCE COLL, 2 INTERVENANT 6 à 8H;PY6
2387;FORFAIT PSYCHIATRIE SEANCE IND. 2 INTERVENANTS 6 à 8H;PY7
2388;FORFAIT PSYCHIATRIE DE SECURITE HOSPITALISATION SANS HEBERGEMENT;PY8
2389;PRISE EN CHARGE DE NUIT POUR UNE DUREE ENTRE 8 ET 12H;PY9
2391;FORFAIT TECHNIQUE TARIF REDUIT N°2;FR2
2392;FORFAIT TECHNIQUE TARIF REDUIT N°3;FR3
2411;INTERVENTION IVG;IG
2412;ANESTHESIE GENERALE;IGA
2413;INVESTIGATIONS BIOLOGIQUES;IGB
2414;CONSULTATION IVG;IC
2415;MEDICAMENTS: MIFEYGINE;IGM
2416;MEDICAMENTS: PROSTAGLANDINES;IGP
2417;VERIFICATION BIOLOGIQUE;IVB
2418;VERIFICATION ECHOGRAPHIQUE;IVE
2419;FORFAIT INTERVENTION AMBULATOIRE;IMD
2420;FORFAIT INTERVENTION DUREE < OU = 12 H PRIVE MEDIC;IMI
2421;INTERVENTION + ANESTHESIE AMBULATOIRE;AMD
2422;FORFAIT POUR IVG MEDICAMENTEUSE;AMF
2423;FORFAIT INTERVENTION AVEC NUITEE;IPD
2424;INTERVENTION + ANESTHESIE AVEC NUITEE;APD
2425;FORFAIT IVG POUR 24H SUPPLEMENTAIRES - SECTEUR PRIVE/SECTEUR PUBLIC;FJS
2426;CONSULTATION IVG SPECIALISTE;ICS
2428;ECHO PRE IVG;IPE
2501;FORFAIT FIR PDSES PUBLIQUE;FI1
2502;FORFAIT FIR CENTRE DEPISTAGE ANONYME ET GRATUIT;FI2
2503;FORFAIT FIR CENTRE PERINATAUX DE PROXIMITE;FI3
2504;FORFAIT FIR EDUCATION THERAPEUTIQUE;FI4
3101;FORFAIT STRUCTURE PS AUXILIAIRES;FSA
3110;CONTRAT INCITATIF INFIRMIER;CII
3111;ACTES EN AMI;AMI
3112;ACTES INFIRMIERS DE SOINS (AMI3-AMI13,AMI16);AIS
3113;ACTES INFIRMIERS DES SAGES-FEMMES (SFI);SFI
3115;DEMARCHE INFIRMIER;DI
3116;MAJORATION POUR ACTE UNIQUE;MAU
3117;MAJORATION DE COORDINATION ET D'ENVIRONNEMENT DE SOIN INFIRMIER;MCI
3118;REMUNERATION VACCINATION GRIPPE A PAR INFIRMIERS LIBERAUX;VGI
3119;REMUNERATION VACCINATION GRIPPE A PAR INFIRMIER RETRAITE OU SALARIE HORS OBLIGATIONS ;VIR
3121;ACTES AMC;AMC
3122;ACTES EN AMK;AMK
3125;ACTES DE KINESITHERAPIE OSTEO-ARTICULAIRE;AMS
3126;CONTRAT DEMOGRAPHIQUE KINE;CIK
3127;FORFAIT PRISE EN CHARGE AVC;FRD
3128;RETOUR A DOMICILE POST CHIRURGIE ORTHOPEDIQUE;FAD
3131;ACTES DES PEDICURES;AMP
3132;ACTES DES ORTHOPHONISTES;AMO
3133;ACTES DES ORTHOPTISTES;AMY
3134;ACTE DE PEDICURE-PODOLOGUE (DIABETIQUE);POD
3135;FORFAIT EVALUATION DOMICILE HANDICAP;FOT
3136;MAJORATION ENFANT - ORTHOPHONIE;MEO
3137;FORFAIT POST HOSPITALISATION - ORTHOPHONIE;FPH
3138;FORFAIT EVALUATION DOMICILE HANDICAP - ORTHOPHONIE;FOH
3139;CONTRAT INCITATIF ORTHOPHONISTE;CIO
3211;ACTES DE BIOLOGIE;B
3212;ACTES D  ANATOMO-CYTO-PATHOLOGIE EN LABORATOIRE;BP
3213;FORFAIT PREALABLE BIOLOGIE IVG VILLE;FPB
3216;FORFAIT ULTERIEUR BIOLOGIE IVG VILLE;FUB
3221;PRELEVEMENT AUTRE QUE SANGUIN PAR UN DIRECTEUR DE LABORATOIRE;KB
3222;PRELEVEMENT SANGUIN PAR UN DIRECTEUR DE LABORATOIRE;PB
3223;PRELEVEMENT SANGUIN PAR UN TECHNICIEN DE LABORATOIRE;TB
3225;PRELEVEMENT PAR PONCTION VEINEUSE DIRECTE POUR UN MEDECIN BIOLOGISTE;KMB
3300;REMUNERATION ROSP AOD;RRA
3301;CONTESTATION ROSP AOD;CRA
3304;PAIEMENT QUALITE DE SERVICE PHARMACIE;PQS
3306;BILAN MEDICATION REMUNERATION PHARMACIE;BMR
3307;BILAN MEDICATION CONTESTATION PHARMACIE;BMC
3311;PHARMACIE 100%;PH1
3312;PHARMACIE PH4;PH4/PG4
3313;PHARMACIE 65%;PH7/PG7
3314;HORMONE DE CROISSANCE;MX1/PH1
3315;MEDICAMENTS ANTIRETROVIRAUX;MX4/PH7
3316;MEDICAMENTS D  EXCEPTION;MX7/PH7
3317; PHARMACIE HOSPITALIERE A 100%;PHH
3318; PHARMACIE HOSPITALIERE A 65%;PHS
3319; PHARMACIE HOSPITALIERE ;PHQ
3320;PHARMACIE HOSPITALIERE EN SUS DU GHS;PH8
3321;FORFAIT PHARMACEUTIQUE EN MATERNITE;PHA
3322;MAJORATION POUR ACHAT HORS HEURES OUVRABLES;UPH
3323;COPIE D  ORDONNANCE;CPH
3324;ECART MEDICAMENT INDEMNISABLE;EMI
3325;MAJORATION PHARMACIE DES ILES;MPI
3326;PREPARATION MAGISTRALE REMBOURSABLE;PMR
3327;PREPARATION MAGISTRALE HOMEOPATHIQUE;PMH
3328;MEDICAMENTS  HOMEOPATHIQUES UNITAIRES;MHU
3329;FORFAIT MEDICAMENT IVG VILLE;FMV
3330;ECART INDEMNISABLE RETROCESSION;ERI
3331;VACCIN ANTI-GRIPPE;PH7/ANTI GRIPPE
3332;VACCIN ROR;PH7/ROR
3334;Vaccin anti grippe Hémisphère Sud VAXIGRIP HS  ;GS1
3335;Vaccin anti grippe Hémisphère Sud FLUARIX HS  ;GS2
3336;PHARMACIE SOUS ATU SEJOUR;PHX
3337;FORFAIT FAUSSE COUCHE VILLE;FFC
3338;FORFAIT FAUSSE COUCHE VILLE SANS ÉCHOGRAPHIE;FFV
3339;FORFAIT FAUSSE COUCHE ETABLISSEMENT AVEC ECHOGRAPHIE;FEF
3340;FORFAIT FAUSSE COUCHE ETABLISSEMENT SANS ECHOGRAPHIE;FFE
3341;PHARMACIE 15%;PH2
3342;PREPARATION MAGISTRALE ALLOPATHIQUE 15 %;PM2
3343;PREPARATION MAGISTRALE ALLOPATHIQUE;PM4
3351;MEDICAMENT AVEC UNE AUTORISATION TEMPORAIRE D'UTILISATION;PHU
3352;PREPARATION MAGISTRALE HOSPITALIRE;PHM
3353;PREPARATION HOSPITALIERE;PHP
3354;MEDICAMENT AVEC AUTORISATION D'IMPORTATION;PHI
3355;MARGE FORFAITAIRE (MEDICAMENTS HOSPITALIERS);MAR
3356;PHARMACIE HOSPITALIERE DEROGATOIRE;PHD
3357;PHARMACIE HOSPITALIERE MMH;PHT
3361;GARDE PHARMACIE NUIT;GPN
3362;GARDE PHARMACIE FERIE;GPF
3363;GARDE PHARMACIE DIMANCHE;GPD
3364;HONORAIRE MEDICAMENT REMBOURSABLE;HDR
3365;HONORAIRE DISPENSATION EN LIEN AVEC AGE;HDA
3366;HONORAIRE DE DISPENSATION MEDICAMENTS SPECIFIQUES;HDE
3374;KIT ANTI-GRIPPE;KGP
3375;REMUNERATION PHARMACIENS POUR VACCINS H1N1;
3379;Honoraire de dispensation spécifique vaccins anti grippaux Hémisphère Sud;HDS
3380;HONO DISP COMP  ;HC
3381;PREPARATION PHARMACEUTIQUE INDIVIDUALISEE (ALLERGENES);PPI
3382;PRISE EN CHARGE DEROGATOIRE PHARMACIE;PDP
3383;HONO DISP 1 ;HD1
3384;HONO DISP 2 ;HD2
3385;HONO DISP 4 ;HD4
3386;HONO DISP 7 ;HD7
3387;HONO DISP GC 1 ;HG1
3388;HONO DISP GC 2 ;HG2
3389;HONO DISP GC 4 ;HG4
3390;HONO DISP GC 7 ;HG7
3391;REMU  OBJECTIF - PHARMACIEN;ROP
3392;REMU OBJECTIF - PHARMACIEN COMPLEMENT;COP
3393;ROSP AVK;AVK
3394;ROSP AVK COMPLEMENT;CVK
3395;Plan personnalisé de santé pharmacie;PPH
3396;ROSP ASTHME;AHM
3397;ROSP ASTHME COMPLEMENT;CHM
3398;ROSP TRANSMISSION RPPS;RTR
3399;REMUNERATION PHARMACIENS POUR VACCINS H1N1 - REGULARISATION COMPTABLE ET SAISIE MANUELLE;
3411;SANG,PLASMA ET LEURS DERIVES;SNG
3412;TRANSPORT DU PRODUIT;TSG
3413;LAIT HUMAIN;LAI
3414;AUTRES PRODUITS D  ORIGINE HUMAINE;HUM
3511;APPAREILS D  ASSISTANCE RESPIRATOIRE,OXYGENOTHERAPIE A DOMICILE;AAR
3512;AUTRES MATERIELS POUR TRAITEMENTS A DOMICILE (CHAP. 1);AAD
3513;MATERIELS ET APPAREILS DE CONTENTION ET DE MAINTIEN (CHAP. 2);MAC
3514;MATERIELS ET APPAREILS POUR TRAITEMENTS DIVERS (CHAP. 3);MAD
3515;ARTICLES DE PANSEMENTS (CHAP. 4);PAN
3516;NUTRIMENTS POUR INTOLERANTS AU GLUTEN (CHAP. 3);GLU
3517;ALIMENTS DESTINES A DES FINS MEDICALES;NUT
3518;APPAREIL GENERATEUR D AEROSOL;ARO
3521;ORTHESES (PETIT APPAREILLAGE) (CHAP. 1);PA
3522;DIVERS ORTHESES;DVO
3523;FORFAIT MONTURE MOINS DE 18 ANS CMU;OME
3524;FORFAIT OPTIQUE ENFANT -A- MULTIFOCAUX (CMU);OVA
3525;FORFAIT OPTIQUE ENFANT -B- MULTIFOCAUX (CMU);OVB
3526;FORFAIT OPTIQUE -N° 6 MULTIFOCAUX (CMU);OP7
3527;FORFAIT OPTIQUE -ENFANT-N° 1 UNIFOCAUX (CMU);OV1
3528;FORFAIT OPTIQUE -ENFANT-N° 2 UNIFOCAUX (CMU);OV2
3529;FORFAIT OPTIQUE -ENFANT-N° 3 UNIFOCAUX (CMU);OV3
3530;FORFAIT OPTIQUE -ENFANT-N° 4 UNIFOCAUX (CMU);OV4
3531;OPTIQUE MEDICALE PROPREMENT DIT;OPT
3532;MONTURE/LUNETTE POUR ENFANT DE - DE 18 ANS CRPCEN (HORS CODAGE LPP);LUN/LNE
3533;VERRES / VERRES POUR ENFANT<18 ans -CRPCEN- (hors codage LPP);VER/OPE
3534;REPARATION;OPR/ROM/ROV
3535;LENTILLES;LEN
3536;VERRES UNIFOCAUX OP1 (CMU);OP1
3537;VERRES UNIFOCAUX OP2 (CMU);OP2
3538;VERRES UNIFOCAUX OP3 (CMU);OP3
3539;VERRES UNIFOCAUX OP4 (CMU);OP4
3540;PROTHESE AUDITIVE RAC ZERO;PAZ
3541;APPAREILS ELECTRONIQUES DE SURDITE  (CHAP 3.);PAU/AUA
3542;PROTHESES EXTERNES NON ORTHOPEDIQUES (CHAP. 4);PEX
3543;PROTHESES OCULAIRES ET FACIALES (CHAP. 5);POC
3544;CHAUSSURES ORTHOPEDIQUES (CHAP. 6);COR
3545;ORTHOPROTHESES (CHAP 7.);ORP
3546;ACCESSOIRES DE PROTHESES ET D  ORTHOPEDIE (CENTRES D  APPAR.) (CHAP.8);ORC
3547;APPAREILS ELECTRONIQUES DE SURDITE (CONSOMMABLES Y.C. PILES);AUP
3548;ORTHOPROTHESES COUTEUSES;OPC
3549;PROCESSEUR POUR IMPLANT OSTE-INTEGRE;PIO
3550;PROTHESE AUDITIVE SUIVI;SUI
3551;IMPLANT INTERNE (CHAP. 1, 2 ET 3);PII
3552;IMPLANT MU PAR ELECTRICITE (CHAP. 4);PME
3553;FORFAIT OPTIQUE -ENFANT-N° 5 UNIFOCAUX (CMU);OV5
3554;FORFAIT OPTIQUE -ENFANT-N° 6 UNIFOCAUX (CMU);OV6
3555;FORFAIT OPTIQUE -ENFANT-N° 7 UNIFOCAUX (CMU);OV7
3556;FORFAIT OPTIQUE -ENFANT-N° 8 UNIFOCAUX (CMU);OV8
3557;FORFAIT OPTIQUE -ENFANT-N° 9 UNIFOCAUX (CMU);OV9
3558;PROTHESE AUDITIVE DEPASSEMENT RAC ZERO;PDZ
3561;VEHICULES POUR HANDICAPES PHYSIQUES;VEH
3571;FRAIS DE GESTION APPAREILLAGE;FGA
3572;ECART TIPS INDEMNISABLE;ETI
3573;FOURNITURE ET EQUIPEMENT DEROGATOIRES;FED
3574;DISPOSITIF MEDICAL (PRISE EN CHARGE EXCEPTIONNELLE);PDM
3575;COMPLEMENT AT 150% LPP;ATL
3581;VERRES UNIFOCAUX OP5(CMU);OP5
3582;VERRES UNIFOCAUX OP6(CMU);OP6
3583;MONTURE (CMU);OPM
3591;PRISE EN CHARGE DEROGATOIRE LPP;PCD
3592;PEC EXCEPTIONNELLE DÉPASSEMENT LPP;DLE
3593;TELESURVEILLANCE : FOURNISSEUR DE LA SOLUTION;TSF
3594;PEC EXCEPTIONNELLE DEPASSEMENT LPP TP;DLT
3610;SUPPLEMENT DEROGATOIRE SG SUR PRESTATION PHARMACIE NON REMBOURSABLE (CNMSS);SGN
3611;SUPPLEMENT DEROGATOIRE SG SUR PRESTATION SANITAIRE NON REMBOURSABLE (CNMSS);SGS
3612;SUPPLEMENT DEROGATOIRE SG SUR PRESTATION SANITAIRE REMBOURSABLE (CNMSS);DPS
4111;FORFAIT DE SURVEILLANCE MEDICALE  1ER HANDICAP;STH
4112;FORFAIT DE SURVEILLANCE MEDICALE REDUIT  2EME HANDICAP;THR
4113;PRATIQUES MEDICALES COMPLEMENTAIRES COTEES EN K;KTH
4114;COMPLEMENT SURVEILLANCE THERMALE;CST
4131;FRAIS DE TRANSPORT - CURES THERMALES;TTH
4132;FRAIS D  HOTEL - CURES THERMALES;HTH
4141;FORFAIT THERMAL 1;TH1
4142;FORFAIT THERMAL 2 AVEC KINESITEHRAPIE;TH2
4143;FORFAIT THERMAL 2EME ORIENTATION;TH3
4144;FORFAIT THERMAL 3 AVEC 9 SEANCES KINESITHERAPIE;TH4
4145;FORFAIT THERMAL 72 SEANCES AVEC KINE;TH5
4151;FORFAIT THERMAL 18 SEANCES COLLECTIVES;MK1
4152;FORFAIT THERMAL 18 SEANCES INDIVIDUELLES;MK2
4153;FORFAIT THERMAL 9 SEANCES COLLECTIVES;MK3
4154;FORFAIT THERMAL 9 SEANCES INDIVIDUELLES;MK4
4206;PRESTATION FIN DE GARDE AMBULANCE;AFG
4207;FORFAIT TRANSPORT D'URGENCE EXPERIMENTATION CPAM AUDE;FTU
4208;FORFAIT D'URGENCE SUR APPEL DU SAMU EXPERIMENTATION CPAM BOUCHES-DU-RHONE;FUS
4209;COMPLEMENT TRANSPORTS D'URGENCE;CTU
4210;Taxi tarif A;TXA
4211;SERVICES MOBILES D  URGENCE ET DE REANIMATION (SMUR);SMU
4212;AMBULANCES AGREEES;ABA
4213;VEHICULES SANITAIRES LEGERS (VSL);VSL
4214;TAXIS;TXI
4215;VEHICULES PERSONNELS;VP
4216;TRANSPORT REEDUCATION PROFESSIONNEL;TRP
4217;Taxi tarif B;TXB
4218;Taxi tarif C;TXC
4219;AUTRES MODES DE TRANSPORT;ATP
4220;Taxi tarif D;TXD
4221;AMBULANCE AGREEE DE GARDE;ABG
4222;INDEMNITE DE GARDE AMBULANCIERE;ING
4223;PART ASSOCIATION TRANSPORTEUR;
4224;PRATIQUE DE GEO LOCALISATION PAR DISPOSITIF EMBARQUE;PGE
4225;FORFAIT TRANSPORT PARTAGE PAR 2 PERSONNES;TS2
4227;CONTRAT D'AMELIORATION DE LA QUALITE ET DE LA COORDINATION DES SOINS;CAQ
4228;CONTRAT D'AMELIORATION DE LA QUALITE ET DE LA COORDINATION DES SOINS COMPLEMENT;CAC
4229;Taxi tarif F;TXF
4311;FRAIS DE DEPLACEMENT - ENQU'TE LEGALE AT;DEL
4312;FRAIS DE DEPLACEMENT - COLLEGE 3 MEDECINS;DCM
4313;HONORAIRES;HCM
4315;AUTOPSIE;AUT
4316;EXPERTISE;EXP
4317;HONORAIRE COMITE  REGIONAL  RECONNAISSANCE Maladie  Professionnelle;HMP
4318;DEPLACEMENT COMITE REGIONAL RECONNAISSANCE MP;DPH
4319;DEPLACEMENT PERSONNE ENTENDUE (CRRMP);DPE
4320;AVIS SAPITEUR;ECP
4321;FRAIS FUNERAIRES;FUN
4322;TRANSPORT DU CORPS;TRC
4323;INDEMNITE ALLOUEE EN REPARATION DES PREJUDICES EXTRA-PATRIMOMIAUX;PDO
4324;INDEMNITE DE CHANGEMENT D  EMPLOI;ICE
4325;INDEMNITE COMPLEMENTAIRE POUR REEDUCATION PROFESSIONNELLE;ICR
4326;PRETIUM PULCHRITUDINIS;PPU
4327;PRETIUM SEXUALE;PSE
4328;PREJUDICE D'AGREMENT;PAG
4329;PREJUDICE PERTE OU DIMINUTION PROMOTION PROFESSIONNELLE;PPD
4330;PREJUDICES EXTRA PATRIMONIAUX - HORS IV;PNC
4331;REMBOURSEMENTS DE SOINS A L  ETRANGER (ET1 A ET6 ET ET8 A ET9, ETB ETA, ETH, ETT, ETP, ETX );ETR
4332;PREJUDICE AMIANTE;PPA
4339;REMBOURSEMENT DE SOINS;RES
4341;FRAIS DE TUTELLE;
4342;COTISATIONS A.T. EN CAS DE READAPTATION FONCTIONNELLE;CRF
4343;COTISATIONS A.T. EN CAS DE REEDUCATION PROFESSIONNELLE;CRP
4351;PRIME DE FIN DE REEDUCATION;PFR
4352;AUTRES PRESTATIONS DIVERSES;
4353;INDEMNITE POUR PERTE DE SALAIRE (MALADIE, AT);IPS
4359;FORFAIT UTILISATION DES TELESERVICES;IUS
4360;FORFAIT PARTICIPATION A LA TELETRANSMISSION;FPT
4361;FACTURATION FEUILLE DE SOINS (POUR INFORMATION);FFS
4363;AIDE A LA FACTURATION FEUILLE DES FLUX NON SECURISES;FFN
4364;AIDE MAINTENANCE TELETRANSMISSION;AMT
4365;AIDE PORTABLE TELETRANSMISSION;APT
4366;AIDE DEMARRAGE TELETRANSMISSION;ADT
4368;FORFAIT STRUCTURE CENTRE DE SANTE;FCS
4369;FORFAIT PROFESSIONNEL DE SANTE CENTRE DE SANTE;FPS
4370;FORFAIT D'INCITATION FORFAITAIRE A LA NUMERISATION ET A LA TRANSMISSION;IFT
4371;FORFAIT DE SOINS MEDICALISES (REGIME DES MINISTRES DES CULTES ET DES MEMBRES CONGR. ET COLL.RELIGIEUSES);FSM
4372;FORFAIT REPOS CONVALESCENCE (REGIME DES MINISTRES DES CULTES ET DES MEMBRES CONGR. ET COLL.RELIGIEUSES);FRC
4375;AIDE OUTIL DE MISE A JOUR;OMJ
4376;LIGNE TELEPHONIQUE DEDIEE;LTD
4377;PIED SUPPORT MATERIEL;PSM
4378;SUPPLEMENT OFFICINE DOM;SOD
4379;AVANCE RÉMUNÉRATION SPÉCIFIQUE CENTRES DE SANTÉ ;ADS
4380;SOLDE RÉMUNÉRATION SPÉCIFIQUE CENTRES DE SANTÉ ;SDS
4381;ACTES NON NOMENCLATURE;HN
4382;PHARMACIE NON REMBOURSABLE;PHN
4391;RESPONSABILITE CIVILE PROFESSIONNELLE;RCP
4392;RESPONSABILITE CIVILE ECHOGRAPHIE OBSTETRICALE;RCO
4393;RESPONSABILITE CIVILE CHIRURGIE 1;RC1
4394;RESPONSABILITE CIVILE CHIRURGIE 2;RC2
4395;RESPONSABILITE CIVILE ANESTHESIE REANIMATION;RCA
4396;PRIME RESPONSABILITE SPECIALISTE;PRS
4397;PRIME ACCREDITATION SPECIALISTE;ACR
4411;AIDE SOCIALE;
4412;DISPENSAIRES ANTITUBERCULEUX;
4413;DISPENSAIRES ANTIVENERIENS;
4414;HYGIENE MENTALE;
4415;ETABLISSEMENTS DE LUTTE CONTRE LA TUBERCULOSE;
4416;PROTECTION MATERNELLE ET INFANTILE;
4417;AUTRES PARTICIPATIONS FORFAITAIRES NON INDIVIDUALISEES;
4419;AUTRES DEPENSES NON INDIVIDUALISEES;
4501;CONTROLES MEDICAUX (CLERCS ET EMPLOYES DE NOTAIRES);CNT
4511;CAPITAL DECES;CDC
4611;FORFAIT DIVERS PAYES A LA STRUCTURE DE SOINS (FILIERES ET RESEAUX);FDI
